timestamp,engine_id,load_kw,rpm,param,value,unit,min,max
2026-01-01 00:00:00,DG1,160,1500,engine_lo_inlet_pressure_bar,4.06,bar,3.5,4.5
2026-01-01 00:00:00,DG1,160,1500,tc_lo_inlet_pressure_bar,1.58,bar,1.3,2.0
2026-01-01 00:00:00,DG1,160,1500,lo_inlet_temp_c,58.01,c,0,65
2026-01-01 00:00:00,DG1,160,1500,htcw_engine_outlet_temp_c,81.79,c,0,90
2026-01-01 00:00:00,DG1,160,1500,charge_air_pressure_bar,3.02,bar,0,3.5
2026-01-01 00:00:00,DG2,160,1500,engine_lo_inlet_pressure_bar,4.11,bar,3.5,4.5
2026-01-01 00:00:00,DG2,160,1500,tc_lo_inlet_pressure_bar,1.60,bar,1.3,2.0
2026-01-01 00:00:00,DG2,160,1500,lo_inlet_temp_c,57.99,c,0,65
2026-01-01 00:00:00,DG2,160,1500,htcw_engine_outlet_temp_c,81.78,c,0,90
2026-01-01 00:00:00,DG2,160,1500,charge_air_pressure_bar,3.06,bar,0,3.5
2026-01-01 00:00:00,DG3,240,1800,engine_lo_inlet_pressure_bar,4.11,bar,3.5,4.5
2026-01-01 00:00:00,DG3,240,1800,tc_lo_inlet_pressure_bar,1.58,bar,1.3,2.0
2026-01-01 00:00:00,DG3,240,1800,lo_inlet_temp_c,58.03,c,0,65
2026-01-01 00:00:00,DG3,240,1800,htcw_engine_outlet_temp_c,81.92,c,0,90
2026-01-01 00:00:00,DG3,240,1800,charge_air_pressure_bar,3.08,bar,0,3.5
2026-01-01 00:00:00,DG4,160,1500,engine_lo_inlet_pressure_bar,4.06,bar,3.5,4.5
2026-01-01 00:00:00,DG4,160,1500,tc_lo_inlet_pressure_bar,1.59,bar,1.3,2.0
2026-01-01 00:00:00,DG4,160,1500,lo_inlet_temp_c,57.97,c,0,65
2026-01-01 00:00:00,DG4,160,1500,htcw_engine_outlet_temp_c,81.83,c,0,90
2026-01-01 00:00:00,DG4,160,1500,charge_air_pressure_bar,3.04,bar,0,3.5
2026-01-01 01:00:00,DG1,640,1800,engine_lo_inlet_pressure_bar,4.07,bar,3.5,4.5
2026-01-01 01:00:00,DG1,640,1800,tc_lo_inlet_pressure_bar,1.61,bar,1.3,2.0
2026-01-01 01:00:00,DG1,640,1800,lo_inlet_temp_c,58.04,c,0,65
2026-01-01 01:00:00,DG1,640,1800,htcw_engine_outlet_temp_c,82.41,c,0,90
2026-01-01 01:00:00,DG1,640,1800,charge_air_pressure_bar,3.18,bar,0,3.5
2026-01-01 01:00:00,DG2,240,1800,engine_lo_inlet_pressure_bar,4.11,bar,3.5,4.5
2026-01-01 01:00:00,DG2,240,1800,tc_lo_inlet_pressure_bar,1.61,bar,1.3,2.0
2026-01-01 01:00:00,DG2,240,1800,lo_inlet_temp_c,57.92,c,0,65
2026-01-01 01:00:00,DG2,240,1800,htcw_engine_outlet_temp_c,81.95,c,0,90
2026-01-01 01:00:00,DG2,240,1800,charge_air_pressure_bar,3.02,bar,0,3.5
2026-01-01 01:00:00,DG3,480,1800,engine_lo_inlet_pressure_bar,4.07,bar,3.5,4.5
2026-01-01 01:00:00,DG3,480,1800,tc_lo_inlet_pressure_bar,1.61,bar,1.3,2.0
2026-01-01 01:00:00,DG3,480,1800,lo_inlet_temp_c,58.02,c,0,65
2026-01-01 01:00:00,DG3,480,1800,htcw_engine_outlet_temp_c,82.25,c,0,90
2026-01-01 01:00:00,DG3,480,1800,charge_air_pressure_bar,3.13,bar,0,3.5
2026-01-01 01:00:00,DG4,160,1500,engine_lo_inlet_pressure_bar,4.10,bar,3.5,4.5
2026-01-01 01:00:00,DG4,160,1500,tc_lo_inlet_pressure_bar,1.57,bar,1.3,2.0
2026-01-01 01:00:00,DG4,160,1500,lo_inlet_temp_c,57.99,c,0,65
